Problem,ms,stepcount,lvl0ccMax,lvl0ccMin,lvl2isolated,lvl1ccMin,lvl0isolated,lvl0order,lvl3size,lvl1isolated,lvl1size,lvl2order,lvl3order,lvl0size,lvl2ccMax,lvl1ccCount,lvl1ccMax,lvl2ccMin,lvl2ccCount,lvl3ccCount,lvl3isolated,lvl1order,lvl3ccMin,lvl2size,lvl3ccMax,lvl0ccCount
strips-gripper-x-20,33210,165,267,267,0,522,0,267,2185,0,20687,606,218,2615,606,1,522,606,1,47,46,522,1,41099,172,1
strips-gripper-x-3,54693,23,63,63,0,114,0,63,145,0,1239,130,48,235,130,1,114,130,1,13,12,114,1,2135,36,1
strips-gripper-x-4,3038381,29,75,75,0,138,0,75,201,0,1743,158,58,311,158,1,138,158,1,15,14,138,1,3083,44,1
strips-gripper-x-5,226460,47,87,87,0,162,0,87,265,0,2327,186,68,395,186,1,162,186,1,17,16,162,1,4199,52,1
strips-gripper-x-6,3779,53,99,99,0,186,0,99,337,0,2991,214,78,487,214,1,186,214,1,19,18,186,1,5483,60,1
strips-gripper-x-7,4797,63,111,111,0,210,0,111,417,0,3735,242,88,587,242,1,210,242,1,21,20,210,1,6935,68,1
strips-gripper-x-8,5565,71,123,123,0,234,0,123,505,0,4559,270,98,695,270,1,234,270,1,23,22,234,1,8555,76,1
strips-gripper-x-9,6675,79,135,135,0,258,0,135,601,0,5463,298,108,811,298,1,258,298,1,25,24,258,1,10343,84,1
strips-log-x-2,4319,32,113,2,0,18,0,246,712,0,24646,780,184,555,780,7,585,780,1,86,79,701,1,31686,90,13
strips-log-x-5,364932,29,61,2,0,18,0,195,222,0,4481,347,123,278,347,8,182,347,1,79,70,324,1,5626,34,11
strips-movie-x-1,19,7,4,3,0,8,0,79,1,0,118,93,33,53,17,6,17,8,6,32,31,93,1,118,2,26
strips-movie-x-10,26,7,4,3,0,8,0,214,1,0,298,228,78,143,44,6,44,8,6,77,76,228,1,298,2,71
strips-movie-x-11,27,7,4,3,0,8,0,229,1,0,318,243,83,153,47,6,47,8,6,82,81,243,1,318,2,76
strips-movie-x-12,28,7,4,3,0,8,0,244,1,0,338,258,88,163,50,6,50,8,6,87,86,258,1,338,2,81
strips-movie-x-13,29,7,4,3,0,8,0,259,1,0,358,273,93,173,53,6,53,8,6,92,91,273,1,358,2,86
strips-movie-x-14,31,7,4,3,0,8,0,274,1,0,378,288,98,183,56,6,56,8,6,97,96,288,1,378,2,91
strips-movie-x-15,32,7,4,3,0,8,0,289,1,0,398,303,103,193,59,6,59,8,6,102,101,303,1,398,2,96
strips-movie-x-16,34,7,4,3,0,8,0,304,1,0,418,318,108,203,62,6,62,8,6,107,106,318,1,418,2,101
strips-movie-x-17,35,7,4,3,0,8,0,319,1,0,438,333,113,213,65,6,65,8,6,112,111,333,1,438,2,106
strips-movie-x-18,37,7,4,3,0,8,0,334,1,0,458,348,118,223,68,6,68,8,6,117,116,348,1,458,2,111
strips-movie-x-19,39,7,4,3,0,8,0,349,1,0,478,363,123,233,71,6,71,8,6,122,121,363,1,478,2,116
strips-movie-x-2,18,7,4,3,0,8,0,94,1,0,138,108,38,63,20,6,20,8,6,37,36,108,1,138,2,31
strips-movie-x-20,40,7,4,3,0,8,0,364,1,0,498,378,128,243,74,6,74,8,6,127,126,378,1,498,2,121
strips-movie-x-21,42,7,4,3,0,8,0,379,1,0,518,393,133,253,77,6,77,8,6,132,131,393,1,518,2,126
strips-movie-x-22,45,7,4,3,0,8,0,394,1,0,538,408,138,263,80,6,80,8,6,137,136,408,1,538,2,131
